Group,Item,ItemNumber,depicted.sense.to.distractor.of.depicted.sense,depicted.sense.to.distractor.of.nondepicted.sense,sense1.sense2,nondepicted.sense.to.distractor.of.depicted.sense,nondepicted.sense.to.distractor.of.nondepicted.sense,WordSense,PictureWord,distractor1,distractor2,OneOrTwoPics,PairGrouper,DistWord,Condition,DistWordSound,DistWordSoundGit,TargetPic,ShortPic,Xdim,Ydim,Arbitrary.order
1,pen_sense1,22,0.944999338,-0.347609359,-0.15085115,-0.256559527,1.104103378,writing pen,PEN,CHALK,FENCE,2,4,FENCE,d2,fence.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/fence.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/pen_sense1.jpg?raw=true,pen_sense1.jpg,400,400,15
1,pen_sense2,23,1.104103378,-0.256559527,-0.15085115,-0.347609359,0.944999338,pig pen,PEN,FENCE,CHALK,2,4,SPEAR,d2control,spear.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/spear.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/pen_sense2.png?raw=true,pen_sense2.png,400,400,16
1,plant_sense1,24,1.368728687,-0.479258321,-0.487624344,-0.052384328,1.578638486,forest plant,PLANT,TREE,FACTORY,2,5,TREE,d1,tree.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/tree.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/plant_sense1.jpg?raw=true,plant_sense1.jpg,400,400,17
1,plant_sense2,25,1.578638486,-0.052384328,-0.487624344,-0.479258321,1.368728687,power plant,PLANT,FACTORY,TREE,2,5,BRISKET,d1control,brisket.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/brisket.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/plant_sense2.png?raw=true,plant_sense2.png,400,400,18
1,rib_sense1,28,1.394508193,-0.269664828,-0.041806602,-0.247156257,1.634521324,barbecue rib,RIB,BRISKET,BONE,2,5,BONE,d2,bone.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/bone.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/rib_sense1.png?raw=true,rib_sense1.png,400,400,19
1,rib_sense2,29,1.634521324,-0.247156257,-0.041806602,-0.269664828,1.394508193,skeletal rib,RIB,BONE,BRISKET,2,5,FACTORY,d2control,factory.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/factory.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/rib_sense2.png?raw=true,rib_sense2.png,400,400,20
1,seal_sense1,33,1.457577305,-0.684792359,-0.540266926,-0.578556206,1.138964395,Navy Seal,SEAL,SOLDIER,WALRUS,2,6,SOLDIER,d1,soldier.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/soldier.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/seal_sense1.png?raw=true,seal_sense1.png,400,400,21
1,seal_sense2,34,1.138964395,-0.578556206,-0.540266926,-0.684792359,1.457577305,animal seal,SEAL,WALRUS,SOLDIER,2,6,PENNY,d1control,penny.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/penny.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/seal_sense2.jpg?raw=true,seal_sense2.jpg,400,400,22
1,quarter_sense1,26,1.115020338,-0.673139772,-0.036029304,-0.623801251,0.754985664,coin quarter,QUARTER,PENNY,HALF,2,6,HALF,d2,half.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/half.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/quarter_sense1.jpg?raw=true,quarter_sense1.jpg,400,400,23
1,quarter_sense2,27,0.754985664,-0.623801251,-0.036029304,-0.673139772,1.115020338,the unit of measurement of a fourth or a quarter of something,QUARTER,HALF,PENNY,2,6,WALRUS,d2control,walrus.mp3,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWISounds/walrus.mp3?raw=true,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/quarter_sense2.png?raw=true,quarter_sense2.png,400,400,24
